claim_id,claim,evidence_class,firmware_build,module,address_or_offset,source,destination,condition,first_established_phase,latest_validated_phase,notes
PUB-001,"SiInitPreMemFsp constructs policy record 30d12ad5-a3c6-49c7-a2fd-355ccb61cbcf",PROVEN,O5FKT17A,SiInitPreMemFsp,"descriptor FFCAFB3C","descriptor table","0x7C type-3 policy record","Rocket Lake initializer",15,20,"Policy record identity and shape are exact"
PUB-002,"Policy +0x32 initializes to 1 (Gear 2)",PROVEN,O5FKT17A,SiInitPreMemFsp,"FFCA95D1-FFCA962C","constructor constant","policy+0x32","Rocket Lake path",15,20,"No visible normal High overwrite"
PUB-003,"Visible Lenovo and FSP patchers populate Low/Mid only",PROVEN,O5FKT17A,"PlatformInitPreMem; FspInitPreMem","FFCE932E-FFCE935D; FFCB35B3-FFCB35D2","SaSetup+0x1AB/+0x1AC; FSPM+0x125/+0x126","policy+0x30/+0x31","two iterations",15,20,"High +0x32 excluded by loop bound"
PUB-004,"SaSetup+0x1AD has no proven active High consumer",PROVEN,O5FKT17A,PlatformInitPreMem,"FFCE935A cmp ecx,2","SaSetup+0x1AD","none proven","visible loop ends before index 2",15,20,"Earlier claimed edge is invalidated"
PUB-005,"FSPM_UPD+0x679 is not the active Rocket Lake High-Gear field",PROVEN,O5FKT17A,FspInitPreMem,"FFCB33DE-FFCB33E7","FSPM_UPD+0x679","c56c73d0 record+0xCD","different record contract",15,20,"Do not treat this as a High control"
PUB-006,"No-saved path clears MrcData through +0x5514 after the 0xDD00 callback",PROVEN,O5FKT17A,RklComp,"FFC15334; FFC15534-FFC15541","cold clear range","MrcData+0x5514 included","no valid saved object",18,20,"Callback is not credited as surviving cold producer"
PUB-007,"Cold policy+0x32 to MrcData+0x5514 conversion remains unresolved",EXTERNAL_EVIDENCE_REQUIRED,O5FKT17A,"Intel scheduler/generated conversion","FFC15691 to first use FFC184DF","policy+0x32","MrcData+0x5514","must occur after cold clear",15,20,"Exact implementation absent from decoded closure"
PUB-008,"Provider record 5c696093+0x1F supplies MrcData+0x5534",PROVEN,O5FKT17A,RklComp,"FFC14A7F-FFC14AB8","selected record+0x1F","MrcData+0x5534","0xEC record copy to +0x5515",1,20,"First producer remains external"
PUB-009,"Provider eb7fb39c and final-record constructor are unresolved",EXTERNAL_EVIDENCE_REQUIRED,O5FKT17A,"Intel runtime registry/PPI","LocatePpi consumer boundary","unknown","5c696093 record+0x1F","provider precedes RklComp consumer",1,20,"No nonliteral installer recovered"
PUB-010,"D0:F0+0xFC low byte 4 sets MrcData+0x5555 bit 0x40",PROVEN,O5FKT17A,RklComp,"FFC14CFF-FFC14D14","Read32(D0:F0+0xFC)","MrcData+0x5555.bit6","low byte equals 4",3,20,"Register meaning and target values unknown"
PUB-011,"Gear1 above 2933 requires both +0x55D5.bit11 clear and +0x5534 zero",PROVEN,O5FKT17A,RklComp,"FFC17386-FFC173A7","eligibility fields","MrcData+0x61BE","frequency above 2933",1,20,"A failed gate silently selects Gear2"
PUB-012,"BootMode 4 clears +0x5534 only as a special-boot override",PROVEN,O5FKT17A,RklComp,"FFC14AE8-FFC14AF2","PEI BootMode","MrcData+0x5534","BootMode equals 4",4,20,"Does not establish normal cold default"
PUB-013,"A 3200-to-2933 Gear1 fallback is distinct from 3200 Gear1",PROVEN,O5FKT17A,RklComp,"FFC173E8-FFC17433","3200 fallback inputs","frequency 2933 and Gear1","specific fallback path",6,20,"Not a safe 3200 Gear1 route"
PUB-014,"Final Gear byte drives MC_BIOS_REQ and MC_BIOS_DATA flow",PROVEN,O5FKT17A,RklComp,"FFC31A38-FFC31AEC; FFC33EAD","MrcData+0x61BE","MCHBAR+0x5E00/0x5E04","final MRC selection",16,20,"Bit16 encoding documented by Intel"
PUB-015,"Historical O5F builds preserve decisive Gear windows",PROVEN,"O5FKT12A/14A/15A/16A/17A",RklComp,"hash/window comparison","historical modules","invariant behavior anchors","authenticated local comparison",13,20,"No revision supplied missing producer"
PUB-016,"Gigabyte Z590 UD F2 is a partial policy reference only",PROVEN,Gigabyte_Z590_UD_F2,"FSP/pre-memory modules","0x100 type-2 policy contract","four-field policy population","incompatible O5F ABI","hard contract mismatch",16,20,"No offset or semantic transfer"
PUB-017,"Dell Aurora R12 1.0.1 is a partial constructor reference only",PROVEN,Dell_R12_1.0.1,"Si/FSP/Rkl modules","contract score 23/100","Low/Mid pattern","incompatible O5F lifecycle","seven hard failures",17,20,"No marshaller/provider transfer"
PUB-018,"Public static-firmware route is closed at partial reference",PROVEN,O5F_cross_firmware,"contract scorer/filter","Phase 17-18 controls","public candidates","matching implementation","mandatory contract failures",18,20,"Private/debug material may reopen research"
PUB-019,"Recovery from a valid bad pre-memory policy is unproven",EXTERNAL_EVIDENCE_REQUIRED,O5F_recovery,RecoveryFramework,"recovery/NVRAM boundary","model-specific behavior unresolved","known-good persistent state","valid persistent bad configuration",10,20,"NO-GO remains"
PUB-020,"SaSetup+0x1AD directly reaches policy+0x32",INVALIDATED,O5FKT17A,PlatformInitPreMem,"FFCE935A","SaSetup+0x1AD","policy+0x32","former off-by-one interpretation",15,20,"Loop executes only indices 0 and 1"
